sku;Titulo;image;media_gallery;color;small_image;thumbnail
G_CM_CARTOLA_CAFE;Camisa com manga Cartola Cafe;cartola.jpg;;preta;cartola.jpg;cartola.jpg
G_CM_CARTOLA_VIOLAO;Camisa com manga Cartola Violao;CARTOLA VIOLAO.jpg;;preta;CARTOLA VIOLAO.jpg;CARTOLA VIOLAO.jpg
G_CM_CAVEIRA_BATERISTA;Camisa com manga Caveira Baterista;;;;;
G_CM_CAVEIRA_CHAPEU_RAY;Camisa com manga Caveira Chapeu Ray;caveira ray.jpg;;preta;caveira ray.jpg;caveira ray.jpg
G_CM_CAVEIRA_FONE;Camisa com manga Caveira Fone;;;;;
G_CM_CAVEIRA_MACHADO;Camisa com manga Caveira Machado;Caveira guitarra machado.jpg;;preta;Caveira guitarra machado.jpg;Caveira guitarra machado.jpg
G_CM_CAVEIRA_MEXICANA_COLORIDA;Camisa com manga Caveira Mexicana Colorida;;;;;
CMBLG00079;Camisa Baby Look Caveira Mexicana Colorida Branca;;;;;
G_CM_CAVEIRA_MEXICANA_COLORIDA_BRANCA;Camisa com manga Caveira Mexicana Colorida Branca;mexicana branca.png;;branca;mexicana branca.png;mexicana branca.png
CMBLG00080;Camisa Baby Look Caveira Mexicana Colorida Preta;;;;;
G_CM_CAVEIRA_MEXICANA_P/B;Camisa com manga Caveira Mexicana P/b;;;;;
CMBLG00082;Camisa Baby Look Caveira Mexicana Rosa;;;;;
G_CM_CAVEIRA_MEXICANA_ROSAS;Camisa com manga Caveira Mexicana Rosas;mexicana rosas.png;;preta;mexicana rosas.png;mexicana rosas.png
G_CM_CAVEIRA_MOTO_CINZA;Camisa com manga Caveira Moto Cinza;caveira moto.jpg;;preta;caveira moto.jpg;caveira moto.jpg
G_CM_CAVEIRA_MOTO_FOGO;Camisa com manga Caveira Moto Fogo;moto fogo.png;;preta;moto fogo.png;moto fogo.png
G_CM_CAVEIRA_TRONO;Camisa com manga Caveira Trono;Caveira trono.jpg;;preta;Caveira trono.jpg;Caveira trono.jpg
CMCHP00001;Camisa  Chaveirosbeatles Yellow;;;;;
G_CM_CHUCKY;Camisa com manga Chucky;;;;;
CMCMG00164;Camisa com manga Cm G;;;;;
CMCMM00246;Camisa com manga Cm M;;;;;
CMCMP00147;Camisa com manga Cm P;;;;;
CMCMM00385;Camisa com manga Cm Smiths Capacete;;;;;
CMBLG00071;Camisa Baby Look Coringa;;;;;
